ref_ra,ref_dec,local_rms
24.456669,-28.84209,8.0775085E-4
24.313543,-31.456587,8.475657E-4
24.49422,-28.929909,8.269976E-4
24.495686,-31.370775,8.322365E-4
25.010288,-29.19589,8.346286E-4
25.778345,-29.432268,8.884543E-4
25.231451,-30.300323,7.7811617E-4
26.151083,-30.595556,8.047706E-4
23.914537,-31.400587,8.004973E-4
24.805862,-31.695488,8.2257896E-4
25.326445,-28.816496,7.8699325E-4
26.275312,-28.638233,8.0413785E-4
25.503162,-31.674528,8.1963494E-4
26.523092,-29.319881,7.84028E-4
25.36709,-31.100605,8.0938183E-4
24.76848,-29.86092,7.908288E-4
24.675592,-30.84482,7.8883464E-4
26.674799,-29.564129,7.8631815E-4
25.65402,-31.398207,7.744338E-4
23.53538,-31.457884,8.387739E-4
26.208097,-31.087406,8.6714333E-4
25.010763,-30.25572,7.634814E-4
26.509665,-28.737484,8.092849E-4
25.135677,-31.641052,8.751482E-4
23.510742,-31.665026,8.458933E-4
26.497938,-28.81957,8.3897635E-4
23.288733,-30.06447,7.550888E-4
26.625397,-28.3176,8.5071666E-4
23.542555,-30.120493,7.589239E-4
23.586294,-30.809057,8.124006E-4
26.339748,-28.897118,8.082693E-4
23.769876,-31.364544,8.2035427E-4
23.691422,-28.392199,8.1176584E-4
24.477224,-31.594866,8.12453E-4
24.190712,-29.53201,7.4084697E-4
25.222383,-29.470934,8.845862E-4
24.200628,-30.133902,8.0840336E-4
24.684145,-31.356037,8.2268636E-4
23.933525,-28.626581,8.866945E-4
24.58164,-28.337385,7.882896E-4
25.735178,-28.323008,7.5502717E-4
25.90696,-28.944788,7.587297E-4
24.747059,-29.92446,7.890827E-4
24.132057,-30.87594,7.862823E-4
25.145191,-30.19246,7.6889346E-4
26.507032,-29.867607,7.6371373E-4
26.27554,-29.509644,7.724145E-4
26.563295,-30.87272,8.103387E-4
25.289421,-28.709532,7.555113E-4
25.78564,-29.62081,8.376278E-4
25.273073,-31.49007,8.460962E-4
24.943623,-29.394983,8.218329E-4
23.436472,-29.392384,8.3319E-4
26.274153,-28.992022,7.768126E-4
24.784548,-29.179592,8.0538576E-4
26.272566,-29.102352,7.7288324E-4
23.566711,-31.637445,8.499909E-4
24.129818,-30.301767,7.8618276E-4
24.750761,-28.61331,7.8975275E-4
24.950674,-29.326763,8.2464586E-4
23.270227,-30.349342,7.8992906E-4
24.322247,-29.703943,7.9414854E-4
23.603745,-30.06468,7.6395285E-4
26.566969,-28.572227,8.254519E-4
24.28046,-31.376411,8.4757E-4
26.045713,-31.254196,8.520261E-4
25.22999,-29.104908,8.429551E-4
24.232132,-31.281702,8.401128E-4
23.717451,-30.326504,7.663078E-4
25.69703,-30.560856,8.050859E-4
24.065805,-28.518137,8.6660415E-4
24.03786,-30.938196,7.9079217E-4
23.98602,-29.205938,7.6874264E-4
24.991007,-30.48275,7.7134994E-4
24.167969,-28.662271,8.6512347E-4
23.74493,-31.501045,8.4113854E-4
23.749372,-31.572554,8.435882E-4
25.787113,-31.134861,8.3915435E-4
25.788908,-30.088182,7.9582306E-4
24.563227,-30.506786,8.1797864E-4
24.456766,-30.659418,8.0396153E-4
23.880365,-29.435165,7.8310125E-4
25.059277,-31.737295,8.576381E-4
25.741755,-30.599127,8.231825E-4
26.040947,-29.618034,7.878005E-4
25.128931,-29.827433,8.3107356E-4
24.082632,-28.615524,8.690613E-4
25.477125,-28.316692,7.511368E-4
25.794178,-30.88449,8.6532603E-4
26.580408,-31.19046,8.3904434E-4
25.916582,-30.31069,8.0493366E-4
25.552366,-31.391705,7.8781607E-4
25.021936,-29.608608,8.407595E-4
25.043018,-29.458448,8.418916E-4
23.834246,-28.500536,9.007362E-4
23.811571,-30.957436,8.2547456E-4
23.737389,-30.55318,7.57064E-4
23.435596,-28.91432,8.196448E-4
25.284142,-29.435379,8.972149E-4
26.226414,-30.720894,8.1846194E-4
24.801134,-31.402893,7.9836184E-4
23.259686,-28.875195,8.59508E-4
26.17289,-29.69258,7.6267007E-4
24.742039,-29.767773,7.8981835E-4
25.57886,-29.452562,9.03784E-4
24.700274,-30.790102,8.0547994E-4
24.560295,-29.749535,8.1104296E-4
25.741264,-29.323921,8.775809E-4
25.865025,-29.742258,7.9023844E-4
26.741676,-29.250944,7.871836E-4
25.308407,-31.11391,8.0766325E-4
23.913326,-31.157078,8.051617E-4
24.391031,-28.740988,8.1819127E-4
25.586504,-29.62066,8.481759E-4
25.094463,-31.697514,8.685773E-4
26.654522,-30.249699,8.0003263E-4
23.633905,-29.792448,7.9699315E-4
25.728558,-29.067907,7.88517E-4
25.606367,-30.03453,8.0454437E-4
26.421734,-30.170866,7.9639856E-4
23.836166,-29.12572,7.84578E-4
24.612001,-31.130434,8.100707E-4
26.02002,-29.950756,7.8258116E-4
24.61949,-30.57407,8.11209E-4
24.667831,-29.921324,7.9441385E-4
23.63753,-28.5714,8.359468E-4
24.348612,-31.125835,8.144613E-4
25.566797,-29.8907,8.041832E-4
26.214289,-31.57009,8.10642E-4
25.368742,-29.610641,8.511379E-4
26.089235,-30.575687,8.0421875E-4
26.005053,-28.895916,7.6463673E-4
26.267088,-28.321283,8.378233E-4
23.509897,-29.521513,8.3126046E-4
25.038723,-29.42138,8.4210257E-4
25.978943,-28.539534,7.923578E-4
24.16628,-30.406176,7.747722E-4
24.451937,-28.487404,7.7386905E-4
25.649431,-31.125847,8.1972213E-4
25.586939,-28.708157,7.606468E-4
23.66319,-28.280752,7.9767493E-4
23.353737,-28.410215,8.0317986E-4
23.635063,-30.590887,7.684775E-4
24.100698,-30.050224,8.077826E-4
23.928745,-29.974106,7.5583044E-4
25.14387,-31.071646,7.629341E-4
26.598352,-29.926594,7.751679E-4
24.05817,-29.47906,7.58875E-4
25.005955,-29.051107,8.16829E-4
24.98038,-29.868557,8.497646E-4
25.089886,-28.913267,8.150496E-4
23.265608,-28.339392,8.319212E-4
24.638214,-29.021425,8.006666E-4
25.097162,-30.200552,7.641229E-4
24.457005,-31.24998,8.37773E-4
24.295305,-29.69848,7.8997697E-4
23.473682,-31.130655,8.2736235E-4
25.434103,-29.844933,7.8482326E-4
24.702673,-30.19197,7.6016213E-4
25.60092,-30.873606,8.8456966E-4
25.675692,-29.776909,8.0342236E-4
23.480316,-29.895683,7.546668E-4
25.026987,-28.286844,7.8179216E-4
25.667536,-30.67498,8.401195E-4
26.205772,-30.999775,8.550357E-4
26.154398,-31.24064,8.6674467E-4
26.296717,-30.851679,8.297656E-4
24.415417,-30.610586,7.911109E-4
24.98769,-28.696844,7.753889E-4
25.691702,-28.65317,7.6679984E-4
24.751036,-31.476562,8.027723E-4
26.410189,-30.855207,8.390544E-4
23.759583,-29.423319,8.207793E-4
25.054426,-29.088081,8.29119E-4
25.12029,-30.741001,7.770778E-4
26.65068,-28.759567,8.30415E-4
24.290243,-30.4333,7.842095E-4
23.750908,-31.329565,8.1827346E-4
24.300476,-28.7102,8.434983E-4
26.681242,-29.314592,7.911309E-4
24.178558,-31.11008,8.15061E-4
25.323353,-30.692741,8.1455935E-4
24.253618,-30.141743,8.0024294E-4
25.920088,-28.879911,7.595449E-4
24.60769,-28.545815,7.9912366E-4
26.478466,-31.024227,8.3857635E-4
23.444075,-30.130672,7.614408E-4
26.510063,-31.647463,8.050022E-4
24.988743,-29.50942,8.296035E-4
23.35074,-30.140766,7.6511625E-4
23.98617,-28.998903,8.134237E-4
25.264776,-29.710182,8.429672E-4
25.834063,-29.614408,8.294159E-4
24.60447,-30.726665,8.204185E-4
25.649298,-30.54487,8.05456E-4
23.97341,-30.200392,7.705661E-4
25.190926,-29.297495,8.687157E-4
24.866686,-29.222769,8.1389496E-4
24.667292,-30.1434,7.8276213E-4
26.611778,-30.19881,8.002092E-4
23.860737,-29.135815,7.822006E-4
24.766268,-31.201424,7.753574E-4
26.459478,-28.300539,8.45993E-4
23.707157,-29.932951,7.5012335E-4
23.756702,-28.512718,8.402418E-4
25.99524,-30.446806,8.032222E-4
23.761501,-30.581617,7.567344E-4
23.858217,-29.472872,7.9020957E-4
26.380787,-31.540869,8.1496517E-4
26.732267,-30.131172,8.155014E-4
24.276508,-28.85169,8.340899E-4
23.796898,-29.003426,7.942403E-4
26.17049,-29.565012,7.625852E-4
23.27804,-31.073263,7.8355434E-4
26.091099,-28.587744,7.91252E-4
23.39553,-30.367239,7.713977E-4
23.926517,-29.45497,7.651735E-4
25.167173,-31.632605,8.679343E-4
25.959747,-30.187263,7.958952E-4
25.886045,-28.406876,7.870011E-4
25.896133,-30.441086,8.0744637E-4
24.872465,-29.418667,7.9984055E-4
25.829294,-29.971485,8.0430636E-4
24.806835,-29.93636,8.0085214E-4
23.58971,-31.396538,8.3243434E-4
25.846727,-28.313833,7.71295E-4
23.761242,-28.369242,8.136658E-4
26.74148,-30.094461,8.123781E-4
25.137295,-30.618046,8.0595125E-4
25.37928,-29.776926,7.911713E-4
25.005348,-28.398346,7.6409074E-4
24.056875,-28.481968,8.7118667E-4
25.030424,-31.204931,7.774287E-4
23.389864,-28.37287,8.0712937E-4
26.737257,-29.212347,7.9545204E-4
25.824833,-28.490103,7.9054775E-4
23.382381,-30.179235,7.693531E-4
24.95504,-29.204893,8.157262E-4
25.155405,-31.29835,8.1826054E-4
23.47153,-30.366291,7.7617774E-4
23.7646,-30.464716,7.584967E-4
25.210663,-31.422338,8.2043104E-4
24.447094,-28.5651,7.858298E-4
25.0179,-30.769054,7.7268895E-4
23.86144,-30.912737,8.043486E-4
25.7437,-30.78593,8.2866877E-4
25.202644,-31.294178,8.287155E-4
24.480038,-30.949715,7.941068E-4
23.672855,-31.01894,8.2641444E-4
24.799562,-30.435286,7.7756913E-4
26.616337,-30.22152,7.9912925E-4
24.51737,-28.629616,7.845174E-4
24.837841,-29.783787,8.237926E-4
24.008656,-28.970701,8.1849046E-4
24.093548,-29.459768,7.4890064E-4
23.419224,-28.963701,8.1189245E-4
24.65696,-30.26887,7.6838664E-4
24.915482,-31.128084,7.8644016E-4
25.642242,-31.022722,8.6133054E-4
25.164137,-28.306482,7.6993386E-4
24.294535,-31.391521,8.5000973E-4
25.592342,-30.289454,7.773481E-4
26.137287,-31.109684,8.752674E-4
24.968685,-30.607641,7.995798E-4
25.867165,-30.332727,8.0867787E-4
25.785536,-29.317839,8.5692806E-4
23.438572,-29.093746,8.1387913E-4
24.775682,-30.093462,8.0025214E-4
23.976173,-28.705906,8.8128616E-4
25.159954,-29.778137,8.351829E-4
23.418629,-30.944815,8.0937933E-4
25.462406,-30.44121,7.9038047E-4
24.148508,-29.546661,7.5165206E-4
25.482325,-31.465435,8.203513E-4
23.731129,-28.590818,8.3228055E-4
23.277304,-31.68269,7.929661E-4
24.57231,-30.802126,8.107494E-4
25.232023,-28.462687,7.53567E-4
24.704184,-29.445171,8.011762E-4
25.08695,-28.734665,7.6742313E-4
24.419281,-31.51643,8.399814E-4
23.742125,-29.75557,7.933634E-4
26.070765,-28.61096,7.798195E-4
26.326153,-29.936228,7.5989135E-4
23.786598,-31.136618,8.182629E-4
23.792131,-29.026752,7.912705E-4
